Interfaces,Methods,Roles,,,,,,,,,,,,,,,,,,,,Comments,,,,,,,
,,B/D,Cust-B/D,MM,DPM,Firm,Class Disp,Firm Disp,Help Desk,System,Root,Exch B/D,ProdMaint,TFL,EOP,HELP_DESK_OMT,BOOTH_OMT,DISPLAY_OMT,CROWD_OMT,REPORTING,OPRA,(NR) = Non-repudiation logging is ON,,,,,,,
,acceptOrder,x,x,x,,x,,,x (NR),x,x,x,,,,x,x,,x,,,,,,,,,,
,acceptCancel,x,x,x,,x,,,x (NR),x,x,x,,,,x,x,,x,,,,,,,,,,
,acceptCancelV2,x,x,x,,x,,,x (NR),x,x,x,,,,x,x,,x,,,,,,,,,,
,acceptCancelReplace,x,x,x,,x,,,x (NR),x,x,x,,,,x,x,,x,,,,,,,,,,
OrderStatusService,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,subscribeOrderStatus,x,x,x,x,x,x,x,x,x,x,x,,,x,x,x,,x,x,x,,,,,,,,
,unsubscribeOrderStatus,x,x,x,x,x,x,x,x,x,x,x,,,x,x,x,,x,x,x,,,,,,,,
,subscribeOrderStatusForFirm,,,,,x,,x,x,,x,,,,,x,,,,,,,,,,,,,
,unsubscribeOrderStatusForFirm,,,,,x,,x,x,,x,,,,,x,,,,,,,,,,,,,
OrderStatusSubscriptionService,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,subscribeOrderStatus,x,x,x,x,x,x,x,x,x,x,x,,,x,x,x,,x,x,x,,,,,,,,
,unsubscribeOrderStatus,x,x,x,x,x,x,x,x,x,x,x,,,x,x,x,,x,x,x,,,,,,,,
,subscribeOrderStatusForFirm,,,,,x,,x,x,x,x,,,,,x,,,,,,,,,,,,,
,unsubscribeOrderStatusForFirm,,,,,x,,x,x,x,x,,,,,x,,,,,,,,,,,,,
,subscribeOrderStatusV2,x,x,x,x,x,x,x,x,x,x,x,,,x,x,x,,x,x,x,,,,,,,,
,unsubscribeOrderStatusV2,x,x,x,x,x,x,x,x,x,x,x,,,x,x,x,,x,x,x,,,,,,,,
,subscribeOrderStatusForFirmV2,,,,,x,,x,x,x,x,,,,,x,,,,,,,,,,,,,
,unsubscribeOrderStatusForFirmV2,,,,,x,,x,x,x,x,,,,,x,,,,,,,,,,,,,
,ackOrderStatus,x,x,x,,x,,x,x,x,x,x,,,,x,x,,x,,,,,,,,,,
,publishOrderStatus,x,x,x,,x,,x,x,x,x,x,,,,x,x,,x,,,,,,,,,,
,ackOrderStatusV3,x,x,x,,x,,x,x,x,x,x,,,,x,x,,x,,,,,,,,,,
,publishOrderStatusByClass,x,x,x,,x,,x,x,x,x,x,,,,x,x,,x,,,,,,,,,,
,subscribeOrderStatusForTradingFirmUser,,,,,x,,x,x,x,x,,,,,x,,,,,,,,,,,,,
