Interfaces,Methods,Roles,,,,,,,,,,,,,,,,,,,,Comments,,,,,,,
,,B/D,Cust-B/D,MM,DPM,Firm,Class Disp,Firm Disp,Help Desk,System,Root,Exch B/D,ProdMaint,TFL,EOP,HELP_DESK_OMT,BOOTH_OMT,DISPLAY_OMT,CROWD_OMT,REPORTING,OPRA,(NR) = Non-repudiation logging is ON,,,,,,,
,getSessionProfileDpmsForJointAccount,,,,,,,,x,x,x,,,x,,x,,,,,,,,,,,,,
,getSessionProfileDpmParticipantsForClass,,,,,,,,x,x,x,,,x,,x,,,,,,,,,,,,,
,getProfileOriginTypesForSession,,,,,,,,x,x,x,,,x,,x,,,,,,,,,,,,,
,getUsersForAffiliatedFirm,,,,,,,,x,x,x,,,x,,x,,,,,,,,,,,,,
,getAllUserAffiliatedFirms,,,,,,,,x,x,x,,,x,,x,,,,,,,,,,,,,
,setAffiliatedFirmForUser,,,,,,,,x(NR),x,x,,,x,,x(NR),,,,,,,,,,,,,
,getAffiliatedFirmForUser,,,,,,,,x,x,x,,,x,,x,,,,,,,,,,,,,
,deleteUserFirmAffiliation,,,,,,,,x(NR),x,x,,,x,,x(NR),,,,,,,,,,,,,
,getAllUsersSummaries,,,,,,,,x,x,x,,,x,,x,,,,,,,,,,,,,
,getUserSummary,,,,,,,,x,x,x,,,x,,x,,,,,,,,,,,,,
,deleteUser,,,,,,,,x,x,x,,,x,,x,,,,,,,,,,,,,
,getSessionProfileUsersByAcronym,,,,,,,,x,x,x,,,x,,x,,,,,,,,,,,,,
UserMaintenanceEventService,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,subscribeUserMaintenanceEvent,,,,,,,,x,x,x,,x,x,,x,,,,,,,,,,,,,
,unsubscribeUserMaintenanceEvent,,,,,,,,x,x,x,,x,x,,x,,,,,,,,,,,,,
PropertyEventService,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,subscribePropertyEvent,x,x,x,,x,x,x,x,x,x,,x,x,x,x,x,x,x,x,x,,,,,,,,
,unsubscribePropertyEvent,x,x,x,,x,x,x,x,x,x,,x,x,x,x,x,x,x,x,x,,,,,,,,
UserService,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,setUserPreferences,x (NR),x (NR),x (NR),,x (NR),x (NR),x (NR),x (NR),x (NR),x,x (NR),x (NR),x (NR),x (NR),x (NR),x (NR),x (NR),x (NR),x (NR),x (NR),,,,,,,,
,removeUserPreference,x (NR),x (NR),x (NR),,x (NR),x (NR),x (NR),x (NR),x (NR),x,x (NR),x (NR),x (NR),x (NR),x (NR),x (NR),x (NR),x (NR),x (NR),x (NR),,,,,,,,
,getAllUserPreferences,x,x,x,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,,,,,,,
,getUserPreferencesByPrefix,x,x,x,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,,,,,,,
,removeUserPreferencesByPrefix,x (NR),x (NR),x (NR),,x (NR),x (NR),x (NR),x (NR),x (NR),x,x (NR),x (NR),x (NR),x (NR),x (NR),x (NR),x (NR),x (NR),x (NR),x (NR),,,,,,,,
,getAllSystemPreferences,x,x,x,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,,,,,,,
,getSystemPreferencesByPrefix,x,x,x,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,,,,,,,
,getUserInformation,x,x,x,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,,,,,,,
,getUserInformationByAcronymV2,x,x,x,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,,,,,,,
,getUserInformationV2,x,x,x,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,,,,,,,
,getUserEnablement,x,x,x,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,,,,,,,
,getAllUserEnablements,x,x,x,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,,,,,,,
,getSessionProfileUserInformation,x,x,x,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,,,,,,,
,getSessionProfileUserInformationByAcronym,x,x,x,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,,,,,,,
,getSessionProfileUserInformationV2,x,x,x,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,,,,,,,
,getSessionProfileUserInformationByAcronymV2,x,x,x,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,,,,,,,
,getSessionProfileUsersInformationByAcronymV2,x,x,x,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,,,,,,,
UserTradingParameterService,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,getAllQuoteRiskProfiles,,,x,,,,,x,,x,,,x,,x,,,,,,,,,,,,,
,getQuoteRiskManagementProfileByClass,,,x,,,,,x,,x,,,x,,x,,,,,,,,,,,,,
,setQuoteRiskManagementEnabledStatus,,,x (NR),,,,,x (NR),,x,,,,,x (NR),,,,,,,,,,,,,
,getQuoteRiskManagementEnabledStatus,,,x,,,,,x,,x,,,x,,x,,,,,,,,,,,,,
,getDefaultQuoteRiskProfile,,,x,,,,,x,,x,,,x,,x,,,,,,,,,,,,,
,setQuoteRiskProfile,,,x (NR),,,,,x (NR),,x,,,,,x (NR),,,,,,,,,,,,,
,removeQuoteRiskProfile,,,x (NR),,,,,x (NR),,x,,,,,x (NR),,,,,,,,,,,,,
,removeAllQuoteRiskProfiles,,,x (NR),,,,,x (NR),,x,,,,,x (NR),,,,,,,,,,,,,
,getUserProfiles,,,,,,,,x,,x,,,x,,x,,,,,,,,,,,,,
Admin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,all,,,,,,,,x (NR),,,,,,,x (NR),,,,,,,,,,,,,

Infra Interfaces,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IRObject,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,all,,,,,,,,,,x,,,,,,,,,,,,,,,,,,
AdaptorCBOE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,all,x,x,x,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,,,,,,,
LifeLine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,all,x,x,x,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,,,,,,,
IdentifierRegistrationInterface,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,all,x,x,x,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,,,,,,,
NodeInterfaceAdmin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,all,,,,,,,,,x,x,,,,,,,,,,,,,,,,,,
LoggingRepository,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,all,,,,,,,,,x,x,,,,,,,,,,,,,,,,,,
LoggingServiceObject,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,all,,,,,,,,,x,x,,,,,,,,,,,,,,,,,,
ExtentMapAdmin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,all,,,,,,,,,x,x,,,,,,,,,,,,,,,,,,
ExtentMapAdminV6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,all,,,,,,,,,x,x,,,,,,,,,,,,,,,,,,
CommandConsole,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,all,,,,,,,,,x,x,,,,,,,,,,,,,,,,,,
ChannelAdminEvents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,all,,,,,,,,,x,x,,,,,,,,,,,,,,,,,,
ProcessWatcherRegistration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,all,x,x,x,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,,,,,,,

Consumer Interfaces (Internal),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AlertConsumer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,acceptAlert,,,,,,,,,x,x,,,,,,,,,,,,,,,,,,
,acceptAlertUpdate,,,,,,,,,x,x,,,,,,,,,,,,,,,,,,
,acceptSatisfactionAlert,,,,,,,,,x,x,,,,,,,,,,,,,,,,,,
AlertEventConsumer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BBBOConsumer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,acceptBookBest,,,,,,,,,x,x,,,,,,,,,,,,,,,,,,
BBBOEventConsumer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

BestOfTheRestConsumer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,acceptBestOfTheRest,,,,,,,,,x,x,,,,,,,,,,,,,,,,,,
BestOfTheRestEventConsumer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

CalendarUpdateConsumer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,updateCalendarEvent,,,,,,,,,x,x,,,,,,,,,,,,,,,,,,
EOSSummaryConsumer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,acceptSaleSummaryForClass,,,,,,,,,x,x,,,,,,,,,,,,,,,,,,
EOSSummaryEventConsumer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

ProductConfigurationStatusConsumer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,acceptCacheReset,,,,,,,,,x,x,,,,,,,,,,,,,,,,,,
ProductConfigurationStatusEventConsumer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

TradeReportConsumer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,acceptTradeReport,,,,,,,,,x,x,,,,,,,,,,,,,,,,,,
,acceptTradeBustReport,,,,,,,,,x,x,,,,,,,,,,,,,,,,,,
TradeReportEventConsumer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

Consumer Interfaces,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NBBOConsumer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,acceptNBBO,,,,,,,,,x,x,,,,,,,,,,,,,,,,,,
NBBOEventConsumer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

CacheUpdateEventConsumer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,acceptUserUpdate,,,,,,,,,x,x,,,,,,,,,,,,,,,,,,
PropertyConsumer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,acceptPropertyUpdate,x,x,x,,x,x,x,x,x,x,,x,x,x,x,x,x,x,x,x,,,,,,,,
,acceptPropertyRemove,x,x,x,,x,x,x,x,x,x,,x,x,x,x,x,x,x,x,x,,,,,,,,
PropertyEventConsumer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CancelReportConsumer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,acceptCancelReport,,,,,,,,,x,x,,,,,,,,,,,,,,,,,,
CancelReportEventConsumer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CurrentMarketConsumer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,acceptCurrentMarket,,,,,,,,,x,x,,,,,,,,,,,,,,,,,,
,acceptExpectedOpeningPrice,,,,,,,,,x,x,,,,,,,,,,,,,,,,,,
CurrentMarketEventConsumer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NewOrderConsumer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,acceptNewOrder,,,,,,,,,x,x,,,,,,,,,,,,,,,,,,
NewOrderEventConsumer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OrderUpdateConsumer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,acceptOrderUpdate,,,,,,,,,x,x,,,,,,,,,,,,,,,,,,
OrderUpdateEventConsumer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OrderFillReportConsumer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,acceptOrderFillReport,,,,,,,,,x,x,,,,,,,,,,,,,,,,,,
OrderFillReportEventConsumer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OrderAcceptedByBookConsumer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,acceptOrderAcceptedByBook,,,,,,,,,x,x,,,,,,,,,,,,,,,,,,
OrderAcceptedByBookEventConsumer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OrderQueryConsumer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,acceptOrders,,,,,,,,,x,x,,,,,,,,,,,,,,,,,,
OrderQueryEventConsumer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OrderQueryExceptionConsumer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,acceptException,,,,,,,,,x,x,,,,,,,,,,,,,,,,,,
OrderQueryExceptionEventConsumer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OrderBustReportConsumer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,acceptOrderBustReport,,,,,,,,,x,x,,,,,,,,,,,,,,,,,,
OrderBustReportEventConsumer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OrderBustReinstateReportConsumer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,acceptOrderBustReinstateReport,,,,,,,,,x,x,,,,,,,,,,,,,,,,,,
OrderBustReinstateReportEventConsumer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OrderStatusConsumer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OrderStatusEventConsumer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ProductStateConsumer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,setProductStates,,,,,,,,,x,x,,,,,,,,,,,,,,,,,,
,setProductStateByClass,,,,,,,,,x,x,,,,,,,,,,,,,,,,,,
,setClassState,,,,,,,,,x,x,,,,,,,,,,,,,,,,,,
ProductStateEventConsumer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ProductAdjustmentConsumer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,priceAdjustmentUpdatedNotice,,,,,,,,,x,x,,,,,,,,,,,,,,,,,,
,priceAdjustmentAppliedNotice,,,,,,,,,x,x,,,,,,,,,,,,,,,,,,
,allAdjustmentsAppliedNotice,,,,,,,,,x,x,,,,,,,,,,,,,,,,,,
ProductAdjustmentEventConsumer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ProductUpdateConsumer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,updateProduct,,,,,,,,,x,x,,,,,,,,,,,,,,,,,,
,updateReportingClass,,,,,,,,,x,x,,,,,,,,,,,,,,,,,,
,updateProductClass,,,,,,,,,x,x,,,,,,,,,,,,,,,,,,
,updateProductStrategy,,,,,,,,,x,x,,,,,,,,,,,,,,,,,,
ProductUpdateEventConsumer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ProductStatusConsumer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ProductStatusEventConsumer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QuoteFillReportConsumer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,acceptQuoteFillReport,,,,,,,,,x,x,,,,,,,,,,,,,,,,,,
QuoteFillReportEventConsumer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QuoteDeleteReportConsumer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,acceptQuoteDeleteReport,,,,,,,,,x,x,,,,,,,,,,,,,,,,,,
QuoteDeleteReportEventConsumer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QuoteBustReportConsumer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,acceptQuoteBustReport,,,,,,,,,x,x,,,,,,,,,,,,,,,,,,
QuoteBustReportEventConsumer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QuoteStatusConsumer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QuoteStatusEventConsumer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RFQConsumer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,acceptRFQ,,,,,,,,,x,x,,,,,,,,,,,,,,,,,,
RFQEventConsumer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RecapConsumer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,acceptRecap,,,,,,,,,x,x,,,,,,,,,,,,,,,,,,
RecapEventConsumer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TickerConsumer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,acceptTicker,,,,,,,,,x,x,,,,,,,,,,,,,,,,,,
TickerEventConsumer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TradingSessionConsumer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,acceptTradingSessionState,,,,,,,,,x,x,,,,,,,,,,,,,,,,,,
TradingSessionEventConsumer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TextMessageConsumer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,acceptTextMessageForUser,,,,,,,,,x,x,,,,,,,,,,,,,,,,,,
,acceptTextMessageForProductClass,,,,,,,,,x,x,,,,,,,,,,,,,,,,,,
TextMessageEventConsumer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QuoteRiskManagementProfileConsumer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,acceptNewProfile,,,,,,,,,x,x,,,,,,,,,,,,,,,,,,
,acceptNewGlobalStatusEnabled,,,,,,,,,x,x,,,,,,,,,,,,,,,,,,
,acceptRemoveProfile,,,,,,,,,x,x,,,,,,,,,,,,,,,,,,
QuoteRiskManagementProfileEventConsumer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TradingPropertyConsumer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,acceptExchangePrescribedWidthUpdate,,,,,,,,,x,x,,,,,,,,,,,,,,,,,,
,acceptAllocationStrategyUpdate,,,,,,,,,x,x,,,,,,,,,,,,,,,,,,
,acceptFastMarketSpreadUpdate,,,,,,,,,x,x,,,,,,,,,,,,,,,,,,
,acceptContingencyTimeToLiveUpdate,,,,,,,,,x,x,,,,,,,,,,,,,,,,,,
,acceptRFQResponseRatioUpdate,,,,,,,,,x,x,,,,,,,,,,,,,,,,,,
,acceptPrescribedWidthRatioUpdate,,,,,,,,,x,x,,,,,,,,,,,,,,,,,,
,acceptRFQTimeoutUpdate,,,,,,,,,x,x,,,,,,,,,,,,,,,,,,
,acceptOpeningPeriodTimeUpdate,,,,,,,,,x,x,,,,,,,,,,,,,,,,,,
,acceptOpeningPriceDelayUpdate,,,,,,,,,x,x,,,,,,,,,,,,,,,,,,
,acceptOpeningPriceRateUpdate,,,,,,,,,x,x,,,,,,,,,,,,,,,,,,
,acceptPreClosingTimeUpdate,,,,,,,,,x,x,,,,,,,,,,,,,,,,,,
,acceptMinQuoteCreditUpdate,,,,,,,,,x,x,,,,,,,,,,,,,,,,,,
,acceptContinuousQuotePeriodUpdate,,,,,,,,,x,x,,,,,,,,,,,,,,,,,,
TradingPropertyEventConsumer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IntermarketAdminMessageConsumer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,acceptIntermarketAdminMessage,,,,,,,,,x,x,,,,,,,,,,,,,,,,,,
,acceptBroadcastIntermarketAdminMessage,,,,,,,,,x,x,,,,,,,,,,,,,,,,,,
IntermarketAdminMessageEventConsumer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HeldOrderCancelConsumer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,acceptCancelHeldOrder,,,,,,,,,x,x,,,,,,,,,,,,,,,,,,
HeldOrderConsumer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,acceptHeldOrders,,,,,,,,,x,x,,,,,,,,,,,,,,,,,,
NewHeldOrderConsumer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,acceptNewHeldOrder,,,,,,,,,x,x,,,,,,,,,,,,,,,,,,
HeldOrderStatusConsumer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,acceptHeldOrderStatus,,,,,,,,,x,x,,,,,,,,,,,,,,,,,,
HeldOrderCancelReportConsumer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,acceptHeldOrderCancelReport,,,,,,,,,x,x,,,,,,,,,,,,,,,,,,
HeldOrderFilledReportConsumer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,acceptHeldOrderFilledReport,,,,,,,,,x,x,,,,,,,,,,,,,,,,,,
IntermarketOrderStatusConsumer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IntermarketOrderStatusEventConsumer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CMI Interfaces,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Version,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,getVersionNumber,x,x,x,,x,x,x,x,,x,x,x,x,x,x,x,x,x,x,x,,,,,,,,
MarketQuery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,subscribeBookDepth,x,x,x,,x,x,x,x,,x,x,,x,x,x,x,x,x,x,x,,,,,,,,
,unsubscribeBookDepth,x,x,x,,x,x,x,x,,x,x,,x,x,x,x,x,x,x,x,,,,,,,,
,subscribeBookDepthUpdate,x,x,x,,x,x,x,x,,x,x,,x,x,x,x,x,x,x,x,,,,,,,,
,unsubscribeBookDepthUpdate,x,x,x,,x,x,x,x,,x,x,,x,x,x,x,x,x,x,x,,,,,,,,
,getBookDepth,x,x,x,,x,x,x,x,,x,x,,x,x,x,x,x,x,x,x,,,,,,,,
,getCurrentMarketForProduct,x,x,x,,x,x,x,x,,x,x,,x,x,x,x,x,x,x,x,,,,,,,,
,getRecapForProduct,x,x,x,,x,x,x,x,,x,x,,x,x,x,x,x,x,x,x,,,,,,,,
,getMarketDataHistoryByTime,x,x,x,,x,x,x,x,,x,x,,x,x,x,x,x,x,x,x,,,,,,,,
,subscribeRecapForClass,x,x,x,,x,x,x,x,,x,x,,x,x,x,x,x,x,x,x,,,,,,,,
,subscribeRecapForProduct,x,x,x,,x,x,x,x,,x,x,,x,x,x,x,x,x,x,x,,,,,,,,
,unsubscribeRecapForProduct,x,x,x,,x,x,x,x,,x,x,,x,x,x,x,x,x,x,x,,,,,,,,
,unsubscribeRecapForClass,x,x,x,,x,x,x,x,,x,x,,x,x,x,x,x,x,x,x,,,,,,,,
,subscribeCurrentMarketForClass,x,x,x,,x,x,x,x,,x,x,,x,x,x,x,x,x,x,x,,,,,,,,
,subscribeCurrentMarketForProduct,x,x,x,,x,x,x,x,,x,x,,x,x,x,x,x,x,x,x,,,,,,,,
,unsubscribeCurrentMarketForProduct,x,x,x,,x,x,x,x,,x,x,,x,x,x,x,x,x,x,x,,,,,,,,
,unsubscribeCurrentMarketForClass,x,x,x,,x,x,x,x,,x,x,,x,x,x,x,x,x,x,x,,,,,,,,
,subscribeNBBOForClass,x,x,x,,x,x,x,x,,x,x,,x,x,x,x,x,x,x,x,,,,,,,,
,subscribeNBBOForProduct,x,x,x,,x,x,x,x,,x,x,,x,x,x,x,x,x,x,x,,,,,,,,
,unsubscribeNBBOForClass,x,x,x,,x,x,x,x,,x,x,,x,x,x,x,x,x,x,x,,,,,,,,
,unsubscribeNBBOForProduct,x,x,x,,x,x,x,x,,x,x,,x,x,x,x,x,x,x,x,,,,,,,,
,subscribeTicker,x,x,x,,x,x,x,x,,x,x,,x,x,x,x,x,x,x,x,,,,,,,,
,unsubscribeTicker,x,x,x,,x,x,x,x,,x,x,,x,x,x,x,x,x,x,x,,,,,,,,
,subscribeExpectedOpeningPrice,x,x,x,,x,x,x,x,,x,x,,x,x,x,x,x,x,x,x,,,,,,,,
,unsubscribeExpectedOpeningPrice,x,x,x,,x,x,x,x,,x,x,,x,x,x,x,x,x,x,x,,,,,,,,
,subscribeBookDepthForClass,x,x,x,,x,x,x,x,,x,x,,x,x,x,x,x,x,x,x,,,,,,,,
,subscribeBookDepthForProduct,x,x,x,,x,x,x,x,,x,x,,x,x,x,x,x,x,x,x,,,,,,,,
,unsubscribeBookDepthForClass,x,x,x,,x,x,x,x,,x,x,,x,x,x,x,x,x,x,x,,,,,,,,
,unsubscribeBookDepthForProduct,x,x,x,,x,x,x,x,,x,x,,x,x,x,x,x,x,x,x,,,,,,,,
,subscribeTickerForClass,x,x,x,,x,x,x,x,,x,x,,x,x,x,x,x,x,x,x,,,,,,,,
,subscribeTickerForProduct,x,x,x,,x,x,x,x,,x,x,,x,x,x,x,x,x,x,x,,,,,,,,
,unsubscribeTickerForClass,x,x,x,,x,x,x,x,,x,x,,x,x,x,x,x,x,x,x,,,,,,,,
,unsubscribeTickerForProduct,x,x,x,,x,x,x,x,,x,x,,x,x,x,x,x,x,x,x,,,,,,,,
,subscribeExpectedOpeningPriceForClass,x,x,x,,x,x,x,x,,x,x,,x,x,x,x,x,x,x,x,,,,,,,,
,subscribeExpectedOpeningPriceForProduct,x,x,x,,x,x,x,x,,x,x,,x,x,x,x,x,x,x,x,,,,,,,,
,unsubscribeExpectedOpeningPriceForClass,x,x,x,,x,x,x,x,,x,x,,x,x,x,x,x,x,x,x,,,,,,,,
,unsubscribeExpectedOpeningPriceForProduct,x,x,x,,x,x,x,x,,x,x,,x,x,x,x,x,x,x,x,,,,,,,,
MarketQueryV5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,subscribeCurrentMarketByProduct,x,x,x,,x,x,x,x,,x,x,,x,x,x,x,x,x,x,x,,,,,,,,
,unsubscribeCurrentMarketByProduct,x,x,x,,x,x,x,x,,x,x,,x,x,x,x,x,x,x,x,,,,,,,,
,subscribeTickerByProduct,x,x,x,,x,x,x,x,,x,x,,x,x,x,x,x,x,x,x,,,,,,,,
,unsubscribeTickerByProduct,x,x,x,,x,x,x,x,,x,x,,x,x,x,x,x,x,x,x,,,,,,,,
,subscribeRecapByProduct,x,x,x,,x,x,x,x,,x,x,,x,x,x,x,x,x,x,x,,,,,,,,
,unsubscribeRecapByProduct,x,x,x,,x,x,x,x,,x,x,,x,x,x,x,x,x,x,x,,,,,,,,
,subscribeNBBOByProduct,x,x,x,,x,x,x,x,,x,x,,x,x,x,x,x,x,x,x,,,,,,,,
,unsubscribeNBBOByProduct,x,x,x,,x,x,x,x,,x,x,,x,x,x,x,x,x,x,x,,,,,,,,
Quote,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,acceptQuote,,,x,,,,,x,,x,,,,,x,,,,,,,,,,,,,
,acceptQuotesForClass,,,x,,,,,x,,x,,,,,x,,,,,,,,,,,,,
,getQuote,,,x,,,,,x,,x,,,,,x,,,,,,,,,,,,,
,subscribeQuoteStatus,x,x,x,x,x,x,x,x,x,x,x,,,x,x,x,x,x,x,x,,,,,,,,
,unsubscribeQuoteStatus,x,x,x,x,x,x,x,x,x,x,x,,,x,x,x,x,x,x,x,,,,,,,,
,subscribeQuoteStatusForFirm,,,x,,x,,x,x,,x,,,,,x,,,,,,,,,,,,,
,unsubscribeQuoteStatusForFirm,,,x,,x,,x,x,,x,,,,,x,,,,,,,,,,,,,
,cancelQuote,,,x,,,,,x,,x,,,,,x,,,,,,,,,,,,,
,cancelAllQuotes,,,x,,,,,x,,x,,,,,x,,,,,,,,,,,,,
,cancelQuotesByClass,,,x,,,,,x,,x,,,,,x,,,,,,,,,,,,,
,unsubscribeQuoteStatusByClass,,,x,,,,,x,,x,,,,,x,,,,,,,,,,,,,
,subscribeRFQ,,,x,,,,,x,,x,,,,,x,,,,,,,,,,,,,
,unsubscribeRFQ,,,x,,,,,x,,x,,,,,x,,,,,,,,,,,,,
,subscribeQuoteStatusWithoutPublish,,,x,,,,,x,,x,,,,,x,,,,,,,,,,,,,
,subscribeQuoteStatusForFirmWithoutPublish,,,x,,x,,x,x,,x,,,,,x,,,,,,,,,,,,,
UserOrderQuery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,getOrdersForProduct,x,x,x,,x,,x,x,,x,x,,,,x,x,,x,,,,,,,,,,
